Memoria,Nome,Frequenza,Shift,Tono
1,6M,51890000,-600 kHz,118.8
2,6M,51930000,-600 kHz,118.8
3,RV,145575000,-600 kHz,88.5
4,R0,145600000,-600 kHz, 
5,R1a,145637500,-600 kHz,1750
6,R2a,145662500,-600 kHz,118.8
7,R4,145700000,-600 kHz,118.8
8,R5,145725000,-600 kHz, 
9,R7,145775000,-600 kHz,118.8
10,R7a,145787500,-600 kHz,118.8
11,RU2,430050000,+1.6 MHz,
12,RU7,430175000,+1.6 MHz, 
13,RU8,430200000,+1.6 MHz, 
14,RU10,430250000,+1.6 MHz,118.8
15,RU12,430300000,+1.6 MHz,167.9
16,RU15,430375000,+1.6 MHz,88.5
17,RU,431115000,+1.6 MHz,118.8
18,RU22a,431387500,+1.6 MHz,118.8
,,,,
71,PMR01,446006250,,
72,PMR02,446018750,,
73,PMR03,446031250,,
74,PMR04,446043750,,
75,PMR05,446056250,,
76,PMR06,446068750,,
77,PMR07,446081250,,
78,PMR08,446093750,,
79,PMR09,446106250,,
80,PMR10,446118750,,
81,PMR11,446131250,,
82,PMR12,446143750,,
83,PMR13,446156250,,
84,PMR14,446168750,,
85,PMR15,446181250,,
86,PMR16,446193750,,
